title,publication_year,article_type,volume,issue,doi,abstract,keywords,url,pdf_url_download,peer_review_url,conflict_of_interests,acknowledgements,data_acessibility,data_accessibility_links,funding_info,author_contributions,views,downloads,altmetrics_score,altmetrics_total_outputs
Not Just Disgust: Fear and Anger Also Relate to Intergroup Dehumanization,,,5,1,,,,,,,,,,,,,,,,
No Effect of Red on Personality Trait Self-Ratings: Testing for Effects of Font Color,,,5,1,,,,,,,,,,,,,,,,
Rationality is Gendered,,,5,1,,,,,,,,,,,,,,,,
"Perceptual Content, Not Physiological Signals, Determines Perceived Duration When Viewing Dynamic, Natural Scenes",,,5,1,,,,,,,,,,,,,,,,
The Complex Affective Scene Set (COMPASS): Solving the Social Content Problem in Affective Visual Stimulus Sets,,,5,1,,,,,,,,,,,,,,,,
Predicting High-Level Human Judgment Across Diverse Behavioral Domains,,,5,1,,,,,,,,,,,,,,,,
Ethics-Relevant Values as Antecedents of Personality Change: Longitudinal Findings from the Life and Time Study,,,5,1,,,,,,,,,,,,,,,,
Advanced Aging Enhances the Positivity Effect in Memory: Due to Cognitive Control or Age-Related Decline in Emotional Processing?,,,5,1,,,,,,,,,,,,,,,,
The Authentic Moral Self: Dynamic Interplay between Perceived Authenticity and Moral Behaviors in the Workplace,,,5,1,,,,,,,,,,,,,,,,
Informal Laboratory Practices in Psychology,,,5,1,,,,,,,,,,,,,,,,
Can We Apply the Psychology of Risk Perception to Increase Earthquake Preparation?,,,5,1,,,,,,,,,,,,,,,,
Biasing Actions by Incentive Valence in an Approach/Avoidance Task,,,5,1,,,,,,,,,,,,,,,,
"Prediction of Group Performance: The Interplay of Individual Performance, Interpersonal Attraction, and Interpersonal Behavior",,,5,1,,,,,,,,,,,,,,,,
"When and Why to Replicate: As Easy as 1, 2, 3?",,,5,1,,,,,,,,,,,,,,,,
Affectively Biased Competition: Sustained Attention is Tuned to Rewarding Expressions and is Not Modulated by Norepinephrine Receptor Gene Variant,,,5,1,,,,,,,,,,,,,,,,
Expected Value of Reward Predicts Episodic Memory for Incidentally Learnt Reward-Item Associations,,,5,1,,,,,,,,,,,,,,,,
No Evidence That Lateral Preferences Predict Individual Differences in the Tendency to Update Mental Representations: A Replication-Extension Study,,,5,1,,,,,,,,,,,,,,,,
Birth Order Does Not Affect Ability to Detect Kin,,,5,1,,,,,,,,,,,,,,,,
Investigating the Relationship Between Perfectionistic Self-Presentation and Social Anxiety Using Daily Diary Methods: A Replication,,,5,1,,,,,,,,,,,,,,,,
The Science Behind the Magic? The Relation of the Harry Potter “Sorting Hat Quiz” to Personality and Human Values,,,5,1,,,,,,,,,,,,,,,,
Overestimation of Action-Game Training Effects: Publication Bias and Salami Slicing,,,5,1,,,,,,,,,,,,,,,,
Testing Competing Hypotheses on the Interplay of Importance and Support of the Basic Psychological Needs at Work and Personality Development with Response Surface Analysis,,,5,1,,,,,,,,,,,,,,,,
Neither Cue Familiarity nor Semantic Cues Increase the Likelihood of Repeating a Tip-of-the-Tongue State,,,5,1,,,,,,,,,,,,,,,,
Distinguishing Between Need Support and Regulatory Focus with LIWC,,,5,1,,,,,,,,,,,,,,,,
Situational Determinants of Hand-Proximity Effects,,,5,1,,,,,,,,,,,,,,,,
When Your Boo Becomes a Ghost: The Association Between Breakup Strategy and Breakup Role in Experiences of Relationship Dissolution,,,5,1,,,,,,,,,,,,,,,,
Excess Success in “Ray of hope: Hopelessness Increases Preferences for Brighter Lighting”,,,5,1,,,,,,,,,,,,,,,,
Predictors of Refugee Adjustment: The Importance of Cognitive Skills and Personality,,,5,1,,,,,,,,,,,,,,,,
"Longitudinal Associations of Narcissism with Interpersonal, Intrapersonal, and Institutional Outcomes: An Investigation Using a Representative Sample of the German Population",,,5,1,,,,,,,,,,,,,,,,
"Power and Vertical Positions in an Organization Chart: A Pre-Registered Replication Report of Study 3a and a Modification of Study 1a, Giessner & Schubert (2007)",,,5,1,,,,,,,,,,,,,,,,
Rapid Extraction of Emotion Regularities from Complex Scenes in the Human Brain,,,5,1,,,,,,,,,,,,,,,,
Frozen Goals: Identifying and Defining a New Type of Goal,,,5,1,,,,,,,,,,,,,,,,
"Pragmatism should Not be a Substitute for Statistical Literacy, a Commentary on Albers, Kiers, and Van Ravenzwaaij (2018)",,,5,1,,,,,,,,,,,,,,,,
Friendships with Blacks Relate to Lessened Implicit Preferences for Whites Over Blacks,,,5,1,,,,,,,,,,,,,,,,
Social Smartphone Apps Do Not Capture Attention Despite Their Perceived High Reward Value,,,5,1,,,,,,,,,,,,,,,,
Cue Competition and Incidental Learning: No Blocking or Overshadowing in the Colour-Word Contingency Learning Procedure Without Instructions to Learn,,,5,1,,,,,,,,,,,,,,,,
Near and Far Transfer in Cognitive Training: A Second-Order Meta-Analysis,,,5,1,,,,,,,,,,,,,,,,
Aspect and Narrative Event Segmentation,,,5,1,,,,,,,,,,,,,,,,
The Relationship between Self-Esteem and Depression when Controlling for Neuroticism,,,5,1,,,,,,,,,,,,,,,,
Model-Based Manifest and Latent Composite Scores in Structural Equation Models,,,5,1,,,,,,,,,,,,,,,,
"Psychological Overinvolvement, Emotional Distress, and Daily Affect Following Marital Dissolution",,,5,1,,,,,,,,,,,,,,,,
A Demonstration of the Collaborative Replication and Education Project: Replication Attempts of the Red-Romance Effect,,,5,1,,,,,,,,,,,,,,,,
Do Reward-Related Distractors Impair Cognitive Performance? Perhaps Not,,,5,1,,,,,,,,,,,,,,,,
Divided Attention Selectively Impairs Value-Directed Encoding,,,5,1,,,,,,,,,,,,,,,,
Zooming into Real-Life Extraversion – how Personality and Situation Shape Sociability in Social Interactions,,,5,1,,,,,,,,,,,,,,,,
Predicting Search Performance in Heterogeneous Scenes: Quantifying the Impact of Homogeneity Effects in Efficient Search,,,5,1,,,,,,,,,,,,,,,,
Procedural Coordination in the Matching Task,,,5,1,,,,,,,,,,,,,,,,
A Practical Guide for Transparency in Psychological Science,,,4,1,,,,,,,,,,,,,,,,
On Moderator Detection in Anchoring Research: Implications of Ignoring Estimate Direction,,,4,1,,,,,,,,,,,,,,,,
Improving Human Interaction Research through Ecological Grounding,,,4,1,,,,,,,,,,,,,,,,
The Meta-Science of Adult Statistical Word Segmentation: Part 1,,,5,1,,,,,,,,,,,,,,,,
A Conceptual Review of Lab-Based Aggression Paradigms,,,4,1,,,,,,,,,,,,,,,,
Emotional Congruence and Judgments of Honesty and Bias,,,4,1,,,,,,,,,,,,,,,,
Frequency Sensitivity of Neural Responses to English Verb Argument Structure Violations,,,4,1,,,,,,,,,,,,,,,,
Advances and Open Questions in the Science of Subjective Well-Being,,,4,1,,,,,,,,,,,,,,,,
Reported Self-control is not Meaningfully Associated with Inhibition-related Executive Function: A Bayesian Analysis,,,4,1,,,,,,,,,,,,,,,,
Overconfidence Across Cultures,,,4,1,,,,,,,,,,,,,,,,
"Association between Social Class, Greed, and Unethical Behaviour: A Replication Study",,,4,1,,,,,,,,,,,,,,,,
"The Human Penguin Project: Climate, Social Integration, and Core Body Temperature",,,4,1,,,,,,,,,,,,,,,,
"A Practical Illustration of Methods to Deal with Potential Outliers: A Multiverse Outlier Analysis of Study 3 from Brummelman, Thomaes, Orobio de Castro, Overbeek, and Bushman (2014)",,,4,1,,,,,,,,,,,,,,,,
Looking on the Bright Side: Replicating the Association between Brightness and Positivity,,,4,1,,,,,,,,,,,,,,,,
Credible Confidence: A Pragmatic View on the Frequentist vs Bayesian Debate,,,4,1,,,,,,,,,,,,,,,,
Biased by the Group: Memory for an Emotional Expression Biases Towards the Ensemble,,,4,1,,,,,,,,,,,,,,,,
The Shape of ROC Curves in Shooter Tasks: Implications for Best Practices in Analysis,,,4,1,,,,,,,,,,,,,,,,
Dr. Jekyll or Mr. Hyde? President Donald Trump’s Personality Profile as Perceived from Different Political Viewpoints,,,4,1,,,,,,,,,,,,,,,,
Planfulness: A Process-Focused Construct of Individual Differences in Goal Achievement,,,4,1,,,,,,,,,,,,,,,,
The Fragility of the Near-Hand Effect,,,4,1,,,,,,,,,,,,,,,,
Induced Positive Mood and Cognitive Flexibility: Evidence from Task Switching and Reversal Learning,,,4,1,,,,,,,,,,,,,,,,
Predicting Context-dependent Cross-modal Associations with Dimension-specific Polarity Attributions. Part 2: Red and Valence,,,4,1,,,,,,,,,,,,,,,,
"Effects of Both Preemption and Entrenchment in the Retreat from Verb Overgeneralization Errors: Four Reanalyses, an Extended Replication, and a Meta-Analytic Synthesis",,,4,1,,,,,,,,,,,,,,,,
Experimental Manipulations of Personal Control do Not Increase Illusory Pattern Perception,,,4,1,,,,,,,,,,,,,,,,
When Structure Competes with Semantics: Reading Chinese Relative Clauses,,,4,1,,,,,,,,,,,,,,,,
Does Exposure to Hostile Environments Predict Enhanced Emotion Detection?,,,4,1,,,,,,,,,,,,,,,,
Readers’ Insensitivity to Tense Revealed: No Differences in Mental Simulation During Reading of Present and Past Tense Stories,,,4,1,,,,,,,,,,,,,,,,
Effects of Aging on General and Specific Memory for Impressions,,,4,1,,,,,,,,,,,,,,,,
Predicting Context-Dependent Cross-Modal Associations with Dimension-Specific Polarity Attributions Part 1 – Brightness and Aggression,,,4,1,,,,,,,,,,,,,,,,
"Evidence for Transdiagnostic Repetitive Negative Thinking and Its Association with Rumination, Worry, and Depression and Anxiety Symptoms: A Commonality Analysis",,,4,1,,,,,,,,,,,,,,,,
Testing Significance Testing,,,4,1,,,,,,,,,,,,,,,,
Relating Attentional Biases for Stimuli Associated with Social Reward and Punishment to Autistic Traits,,,4,1,,,,,,,,,,,,,,,,
Personality Trait Effects on Green Household Installations,,,4,1,,,,,,,,,,,,,,,,
Moral Framing and Charitable Donation: Integrating Exploratory Social Media Analyses and Confirmatory Experimentation,,,4,1,,,,,,,,,,,,,,,,
The Effect of Reading a Short Passage of Literary Fiction on Theory of Mind: A Replication of Kidd and Castano (2013),,,4,1,,,,,,,,,,,,,,,,
Individual Importance Weighting of Domain Satisfaction Ratings does Not Increase Validity,,,4,1,,,,,,,,,,,,,,,,
The Influence of Direct and Indirect Speech on Source Memory,,,4,1,,,,,,,,,,,,,,,,
Eye Movement Evidence for Context-Sensitive Derivation of Scalar Inferences,,,4,1,,,,,,,,,,,,,,,,
Children’s Third-Party Understanding of Communicative Interactions in a Foreign Language,,,4,1,,,,,,,,,,,,,,,,
Correction: No Child Left Alone: Moral Judgments about Parents Affect Estimates of Risk to Children,,,2,1,,,,,,,,,,,,,,,,
Only so Many Hours: Correlations between Personality and Daily Time Use in a Representative German Panel,,,4,1,,,,,,,,,,,,,,,,
Individual Differences in Sensitivity to Style During Literary Reading: Insights from Eye-Tracking,,,2,1,,,,,,,,,,,,,,,,
Chapter 1. Bending the Curve: Ten Scalable Solutions for Carbon Neutrality and Climate Stability,,,2,1,,,,,,,,,,,,,,,,
"The Interplay between Subjectivity, Statistical Practice, and Psychological Science",,,2,1,,,,,,,,,,,,,,,,
Chapter 2. The University as a Living Laboratory for Climate Solutions,,,2,1,,,,,,,,,,,,,,,,
Chapter 4. Economic Considerations: Cost-Effective and Efficient Climate Policies,,,2,1,,,,,,,,,,,,,,,,
Chapter 3: Science and Pathways for Bending the Curve,,,2,1,,,,,,,,,,,,,,,,
"Chapter 6. Scaling Up Solutions to State, National and Global Levels",,,2,1,,,,,,,,,,,,,,,,
A Latent Class Analysis of Personal Values in Young Adults,,,3,1,,,,,,,,,,,,,,,,
"Chapter 5. Assessing the Need for High Impact Technology Research, Development & Deployment for Mitigating Climate Change",,,2,1,,,,,,,,,,,,,,,,
Journal Data Sharing Policies and Statistical Reporting Inconsistencies in Psychology,,,3,1,,,,,,,,,,,,,,,,
The Collaborative Roots of Corruption? A Replication of Weisel & Shalvi (2015),,,3,1,,,,,,,,,,,,,,,,
Searching for Moral Dumbfounding: Identifying Measurable Indicators of Moral Dumbfounding,,,3,1,,,,,,,,,,,,,,,,
Bayesian Inference for Correlations in the Presence of Measurement Error and Estimation Uncertainty,,,3,1,,,,,,,,,,,,,,,,
The Blame Game: An investigation of Grammatical Aspect and Blame Judgments,,,3,1,,,,,,,,,,,,,,,,
An Investigation on the Detectability of Deceptive Intent about Flying through Verbal Deception Detection,,,3,1,,,,,,,,,,,,,,,,
Selective Attention in Inattentional Blindness: Selection is Specific but Suppression is Not,,,3,1,,,,,,,,,,,,,,,,
What’s Done is Done: Verb Aspect and Verbatim Memory,,,3,1,,,,,,,,,,,,,,,,
Does a Working Memory Load Really Influence Semantic Priming? A Self-replication Attempt,,,3,1,,,,,,,,,,,,,,,,
Sustained Attention Ability Affects Simple Picture Naming,,,3,1,,,,,,,,,,,,,,,,
Thinking Outside the Button Box: EMG as a Computer Input Device for Psychological Research,,,3,1,,,,,,,,,,,,,,,,
Language Specific and Language General Motivations of Production Choices: A Multi-Clause and Multi-Language Investigation,,,3,1,,,,,,,,,,,,,,,,
Four-year-old Children Align their Preferences with those of their Peers,,,3,1,,,,,,,,,,,,,,,,
How Much Group is Necessary? Group-To-Individual Transfer in Estimation Tasks,,,3,1,,,,,,,,,,,,,,,,
Implicit and Explicit Memory Factors in Cumulative Structural Priming,,,3,1,,,,,,,,,,,,,,,,
Cash or Credit? Compensation in Psychology Studies: Motivation Matters,,,3,1,,,,,,,,,,,,,,,,
Too Good to be False: Nonsignificant Results Revisited,,,3,1,,,,,,,,,,,,,,,,
Romantic Red: Testing the Characteristics of Color–Attraction Effects in a Novel Paradigm,,,3,1,,,,,,,,,,,,,,,,
Predicting Search Performance in Heterogeneous Visual Search Scenes with Real-World Objects,,,3,1,,,,,,,,,,,,,,,,
Metaphoric Gestures Facilitate Perception of Intonation More than Length in Auditory Judgments of Non-Native Phonemic Contrasts,,,3,1,,,,,,,,,,,,,,,,
"What is the Relationship Between “Personality” and “Social” Psychologies? Network, Community, and Whole Text Analyses of The Structure of Contemporary Scholarship",,,3,1,,,,,,,,,,,,,,,,
German and English Bodies: No Evidence for Cross-Linguistic Differences in Preferred Orthographic Grain Size,,,3,1,,,,,,,,,,,,,,,,
Exposure to Celebrities as a Possible Explanatory Mechanism in the Perception of American Narcissism,,,3,1,,,,,,,,,,,,,,,,
Does Power Increase Self-Control? Episodic Priming May Not Provide the Answer,,,3,1,,,,,,,,,,,,,,,,
"Support for Marijuana (Cannabis) Legalization: Untangling Age, Period, and Cohort Effects",,,3,1,,,,,,,,,,,,,,,,
Chapter 9. Establishing Common Ground: Finding Better Ways to Communicate About Climate Disruption,,,2,1,,,,,,,,,,,,,,,,
Individual Differences in Statistical Learning: Conceptual and Measurement Issues,,,2,1,,,,,,,,,,,,,,,,
No Child Left Alone: Moral Judgments about Parents Affect Estimates of Risk to Children,,,2,1,,,,,,,,,,,,,,,,
The Effects of Categorization on Perceptual Judgment are Robust across Different Assessment Tasks,,,2,1,,,,,,,,,,,,,,,,
"The Effects of Minimal Group Membership on Young Preschoolers’ Social Preferences, Estimates of Similarity, and Behavioral Attribution",,,2,1,,,,,,,,,,,,,,,,
Posttraumatic Stress and the Comprehension of Everyday Activity,,,2,1,,,,,,,,,,,,,,,,
A Direct Comparison of N400 Effects of Predictability and Incongruity in Adjective-Noun Combination,,,2,1,,,,,,,,,,,,,,,,
How Iconicity Helps People Learn New Words: Neural Correlates and Individual Differences in Sound-Symbolic Bootstrapping,,,2,1,,,,,,,,,,,,,,,,
"Space Use by Swainson’s Hawk (Buteo swainsoni) in the Natomas Basin, California",,,2,1,,,,,,,,,,,,,,,,
Social Integration and Sleep Disturbance: A Gene-Environment Interaction Study,,,2,1,,,,,,,,,,,,,,,,
Self-enhancement: Conceptualization and Assessment,,,3,1,,,,,,,,,,,,,,,,
Chapter 10. Trees have Already been Invented: Carbon in Woodlands,,,2,1,,,,,,,,,,,,,,,,
Initial Evidence that Individuals Form New Relationships with Partners that More Closely Match their Ideal Preferences,,,2,1,,,,,,,,,,,,,,,,
‘Standing in Awe’: The Effects of Awe on Body Perception and the Relation with Absorption,,,2,1,,,,,,,,,,,,,,,,
Understanding Reef Flat Sediment Regimes and Hydrodynamics can Inform Erosion Mitigation on Land,,,2,1,,,,,,,,,,,,,,,,
Collections2: Using “Crowdsourcing” within Psychological Research,,,3,1,,,,,,,,,,,,,,,,
Quality Uncertainty Erodes Trust in Science,,,3,1,,,,,,,,,,,,,,,,
No Evidence for Differential Relations of Hedonic Well-Being and Eudaimonic Well-Being to Gene Expression: A Comment on Statistical Problems in Fredrickson et al. (2013),,,3,1,,,,,,,,,,,,,,,,
"Motivated Cognition: Effects of Reward, Emotion, and Other Motivational Factors Across a Variety of Cognitive Domains",,,3,1,,,,,,,,,,,,,,,,
