title,publication_year,article_type,volume,issue,doi,abstract,keywords,url,pdf_url_download,conflict_of_interests,acknowledgements,materials,materials_urls,data_accessibility_statement,data_accessibility_links,additional_files,additional_files_links,funding_info,author_contributions,views,downloads
Correction: Testing the Attentional Dwelling Hypothesis of Attentional Capture,2019,Correction,2,1,10.5334/joc.60,"This article details a correction to the article: Lamy, D., Darnell, M., Levi, A., & Bublil, C. (2018). Testing the Attentional Dwelling Hypothesis of Attentional Capture. Journal of Cognition, 1(1), 43. DOI: http://doi.org/10.5334/joc.48","Attention, Visual search, Visual perception",https://www.journalofcognition.org/articles/10.5334/joc.60/,https://www.journalofcognition.org/articles/10.5334/joc.60/galley/136/download/,The authors have no competing interests to declare.,NA,NA,NA,The corrected data file can be found at https://doi.org/10.6084/m9.figshare.7770941.v2,https://doi.org/10.6084/m9.figshare.7770941.v2,NA,NA,NA,NA,80,20
Working Memory Capacity Limits Memory for Bindings,2019,Research article,2,1,10.5334/joc.86,"I propose that the capacity of working memory places a specific limit on the maintenance of temporary bindings. Two experiments support this binding hypothesis: Participants remembered word lists of varying length. When tested on a randomly selected word, their error rates increased with the length of the list, reflecting a limited capacity for short-term maintenance. This increase in errors was predominantly due to binding errors: People confused the correct word with other words of the current memory list, but very rarely with words not in the list. The frequencies of response choices were analyzed through two measurement models – one based on the assumption of discrete memory states, one on the assumption of continuous memory strength – that capture memory for items and for bindings in separate parameters. Increasing memory set size impaired binding memory but not item memory, supporting the binding hypothesis.","Working memory, Mathematical modelling, Short-term memory",https://www.journalofcognition.org/articles/10.5334/joc.86/,https://www.journalofcognition.org/articles/10.5334/joc.86/galley/212/download/,The author has no competing interests to declare.,NA,"The large pool consisted of 1198 German nouns with a length of less than 16 characters, drawn at random from the data base Semantischer Atlas (Schwibbe, n.d.). The small pool for each participant was a new random set of 16 words drawn from the large pool. For the large-pool experiment, the words for each memory list were drawn at random without replacement from the pool. The response set consisted of a subset of these memory words and a set of new words, also drawn without replacement from the pool. When the pool was exhausted, it was re-instated in full, and sampling resumed as before. In this way, words could be used a second time only after all words from the pool have been used once, so that a new word in the set of response options, if it has occurred before in the experiment at all, had occurred many trials ago. For the small-pool experiment, the list words and the new words to be included in the response set were sampled from the pool without replacement in each trial; after each trial the pool was re-instated in full, so that the same words could be (and usually were) re-used on the next trial. The list items included in the response set were chosen by first ordering all list items by their positional distance to the tested item, from smallest to largest. From that ranked list I chose the first RSSList items. This procedure avoids a confound between memory set size and the average positional distance of response options to the tested item. If response options were drawn at random from the list without constraint, their average distance from the tested item would increase with set size. Because people tend to confuse list items more with closer than with more distant neighbors on the list (Hitch, 1974; Lee & Estes, 1977), this confound would lead to an underestimation of the set-size effect.",NA,All raw data and R code are available at the OSF: osf.io/qy5sd.,osf.io/qy5sd,The additional files for this article can be found as follows: Appendix A Priors for Logistic Regression. DOI: https://doi.org/10.5334/joc.86.s1 Appendix B Observed Response Proportions and Posterior Predictives of the Measurement Models. DOI: https://doi.org/10.5334/joc.86.s2,"https://doi.org/10.5334/joc.86.s1, https://doi.org/10.5334/joc.86.s2","The research reported in this article was supported by a grant from the Swiss National Science Foundation (SNSF, grant number 100014_179002).",NA,186,60
"Momentary, Offset-Triggered Dual-Task Interference in Visual Working Memory",2019,Research article,2,1,10.5334/joc.84,"There are conflicting views on whether the storage of visual working memory (VWM) involves active maintenance mechanism. If so, it should suffer from secondary tasks that tap into the same mechanisms during the delay. We found that when observers were asked to remember a visual pattern, the interference from a secondary task was only momentary. This suggests that active attentional processing may serves the initial consolidation, rather than maintenance, of information during the delay period. In three experiments, observers remembered a visual grating while having to perform an intervening change detection task on sets of letters presented at various intervals from the to-be-memorized pattern. The secondary task affected memory on the first task, but only for a limited time window post stimulus offset. We furthermore show that this temporary interference is locked to the offset rather than the onset of the to-be-memorized pattern, suggesting that attention may be transiently recruited for consolidation on a just-in-time basis.","Visual working memory, Attention, Consolidation, Dual-task interference",https://www.journalofcognition.org/articles/10.5334/joc.84/,https://www.journalofcognition.org/articles/10.5334/joc.84/galley/208/download/,The authors have no competing interests to declare.,NA,NA,NA,Data can be accessed through https://github.com/wangbenchi/Consolidation_VWM.,https://github.com/wangbenchi/Consolidation_VWM,NA,NA,"This research was supported by a European Research Council (ERC) consolidator grant [ERC-CoG-615423] to Christian Olivers, and a China Scholarship Council (CSC) scholarship (201508330313) to Benchi Wang.","BW, JT, and CO designed the experiment, BW collected and analyzed the data, BW and CO wrote the paper. All authors approved the final version of the manuscript for submission.",151,50
Sequence Knowledge on When and What Supports Dual-Tasking,2019,Research article,2,1,10.5334/joc.76,"The constraints in overlapping response selection have been established in dual-tasking studies with random sequence of stimuli and responses as well as random stimulus onset asynchrony (SOA). While this approach makes it possible to control for advance activation of upcoming stimuli or responses, it leaves open whether such preparatory processing can indeed influence dual-task performance. We investigated whether and how the sequence of stimuli and responses and the sequence of SOAs can be learned and used under dual-tasking. In each trial, participants (N = 28 in Experiment 1 and N = 30 in Experiment 2) were first presented with a random two-choice task followed by a four-choice Serial Reaction Time Task (SRTT), presented in a sequence of length four (position sequence). The SOA (timing) sequence also had length four. In test phases, one or both of the sequences were randomized. Results showed that both position and timing sequences were learned and supported dual-task performance, suggesting that predictive processing with respect to timing and identity of stimuli and responses can help to circumvent the response selection bottleneck constraints. Furthermore, in contrast to previous work on acquisition of interval sequences in single tasking, we found that the sequence of what (i.e. stimulus) and the sequence of when (i.e. interval between two tasks) contributed independently to performance.","sequence learning, stimulus-response sequence, temporal sequence, action effect of response, SRTT",https://www.journalofcognition.org/articles/10.5334/joc.76/,https://www.journalofcognition.org/articles/10.5334/joc.76/galley/171/download/,The authors have no competing interests to declare.,We thank our student assistant Christina Weckwerth for data collection in Experiment 2. We thank Anastasiya Lebedev for help with proofreading.,NA,www.osf.io/8g6j5,"The software, the original materials, the raw data, and the aggregated data are available at www.osf.io/8g6j5.",www.osf.io/8g6j5,"The additional file for this article can be found as follows: Appendix Full results and additional analyses (i.e., response order, excluding trials in which the SRTT response was provided first, and quintile analysis). DOI: https://doi.org/10.5334/joc.76.s1",https://doi.org/10.5334/joc.76.s1,"This research was supported by grants within the Priority Program, SPP 1772 from the German Research Foundation (Deutsche Forschungsgemeinschaft, DFG), grants no [GA 2246/1-1; HA 5447/11-1; TH 1554/3-1].",NA,92,26
How Not to Fall for the White Bear: Combined Frequency and Recency Manipulations Diminish Negation Effects on Overt Behavior,2019,Research article,2,1,10.5334/joc.62,"Processing negated mental representations comes with a price: Not only are negations harder to resolve than affirmative statements, but they may even invoke ironic effects, producing the exact opposite of the intended outcome. Negation effects also behave ironically when subjected to high-frequency training; when they are confronted often, the difficulty to process negations strangely increases. Here we show that negation effects can be mitigated under certain circumstances. Based on models of cognitive control and conflict adaptation, we hypothesized that negation effects diminish when two criteria are met: negations have to be resolved not only frequently, but also just recently. We confirmed this prediction in two experiments by using an innovative, two-dimensional finger tracking design, in which we measured the influence of the original semantic content during negation processing via temporal and spatial measures. Negation effects were present throughout the experiment, but were reduced after recent negations, particularly during or after a high-frequency negation context. The combined influence of frequency and recency thus seems to be the most successful and promising attempt to mitigate ironic negation effects on overt behavior.","Cognitive Control, Action, Working memory",https://www.journalofcognition.org/articles/10.5334/joc.62/,https://www.journalofcognition.org/articles/10.5334/joc.62/galley/142/download/,The authors have no competing interests to declare.,NA,NA,NA,"The raw data, aggregated data, analytic scripts, and the full results are available at www.osf.io/kzwp6.",NA,"The additional file for this article can be found as follows: Supplementary Material Full results, additional analyses, and stimulus material. DOI: https://doi.org/10.5334/joc.62.s1",https://doi.org/10.5334/joc.62.s1,NA,NA,146,32
Does Learning Influence the Detection of Signals in a Response-Inhibition Task?,2019,Research article,2,1,10.5334/joc.73,"Learning can modulate various forms of action control, including response inhibition. People may learn associations between specific stimuli and the acts of going or stopping, influencing task performance. The present study tested whether people also learn associations between specific stimuli and features of the stop or no-go signal used in the task. Across two experiments, participants performed a response-inhibition task in which the contingencies between specific stimuli and the spatial locations of the ‘go’ and ‘withhold’ signals were manipulated. The contingencies between specific stimuli and either going or withholding were also manipulated, such that a subset of stimuli were associated with responding and another subset with withholding a response. Although there was clear evidence that participants learned to associate specific stimuli with the acts of going or withholding, there was no evidence that participants acquired the spatial signal-location associations. The absence of signal learning was supported by Bayesian analyses. These findings challenge our previous proposals that learning always influences signal-detection processes in response-inhibition tasks where features of the signal remain the same throughout the task.","Cognitive Control, Attention, Executive functions, Learning",https://www.journalofcognition.org/articles/10.5334/joc.73/,https://www.journalofcognition.org/articles/10.5334/joc.73/galley/176/download/,The authors have no competing interests to declare.,NA,NA,"https://osf.io/j6tk9/?view_only=329b1312f7524ef58bb43050e5100cd0, https://osf.io/j6tk9/?view_only=329b1312f7524ef58bb43050e5100cd0",All data files and analysis scripts are deposited in the Open Science Framework (https://osf.io/j6tk9/?view_only=329b1312f7524ef58bb43050e5100cd0).,https://osf.io/j6tk9/?view_only=329b1312f7524ef58bb43050e5100cd0,"The additional file for this article can be found as follows: Supplementary Material Words used in Experiments 1 & 2, on-screen task instructions and eye-movement data analyses. DOI: https://doi.org/10.5334/joc.73.s1",https://doi.org/10.5334/joc.73.s1,"This work was supported by a studentship from the Economic and Social Research Council to MB (ES/J50015X/1), and a starting grant to FV from the European Research Council (ERC) under the European Union’s Seventh Framework Programme (FP7/2007-2013)/ERC Grant Agreement No. 312445. FV is currently supported by an ERC Consolidator grant (European Union’s Horizon 2020 research and innovation programme, grant agreement No 769595).","M.B. and F.V. devised and designed the experiments, M.B. programmed the experiments, collected data, conducted initial data analyses, and wrote the first draft of the manuscript. F.V. provided substantial feedback throughout the project and made critical revisions to the manuscript.",86,11
Task Difficulty Modulates the Disrupting Effects of Oral Respiration on Visual Search Performance,2019,Research article,2,1,10.5334/joc.77,"Previous research has suggested that oral respiration may disturb cognitive function and health. The present study investigated whether oral respiration negatively affects visual attentional processing during a visual search task. Participants performed a visual search task in the following three breathing conditions: wearing a nasal plug, wearing surgical tape over their mouths, or no modification (oral vs. nasal vs. control). The participants searched for a target stimulus within different set sizes of distractors in three search conditions (orientation vs colour vs conjunction). Experiment 1 did not show any effect due to respiration. Experiment 2 rigorously manipulated the search efficiency and found that participants required more time to find a poorly discriminable target during oral breathing compared with other breathing styles, which was due to the heightened intercept under this condition. Because the intercept is an index of pre-search sensory processing or motor response in visual search, such cognitive processing was likely disrupted by oral respiration. These results suggest that oral respiration and attentional processing during inefficient visual search share a common cognitive resource.","Attention, Visual search, Action",https://www.journalofcognition.org/articles/10.5334/joc.77/,https://www.journalofcognition.org/articles/10.5334/joc.77/galley/181/download/,The authors have no competing interests to declare.,The authors wish to thank Daiichiro Kuroki for technical assistance with the experiments.,NA,NA,Anonymized datasets are publicly available at the Open Science Framework (https://osf.io/cjz79/).,https://osf.io/cjz79/,NA,NA,"This experiment was supported by JSPS KAKENHI Grants JP19J21874 (N.Y.), JP15H05709 (Y.Y.), JP16H01866 (Y.Y.), JP17H00875 (Y.Y.), JP18K12015 (Y.Y.), and JP18H04199 (Y.Y.).","NY designed the experiments, performed the data acquisition, interpreted the data, and wrote the manuscript. FY designed the experiments, performed the data acquisition, interpreted the data, critically revised the manuscript, and approved of the final version and its content. FM analysed and interpreted the data, wrote the manuscript, and approved of the final version and its content. AA interpreted the data, critically revised the manuscript, and approved of the final version and its content. YY designed the experiments, interpreted the data, critically revised the manuscript, and approved the final version and its content.",185,47
The Forward Testing Effect is Reliable and Independent of Learners’ Working Memory Capacity,2019,Research article,2,1,10.5334/joc.82,"The forward testing effect refers to the finding that retrieval practice of previously studied information enhances learning and retention of subsequently studied other information. While most of the previous research on the forward testing effect examined group differences, the present study took an individual differences approach to investigate this effect. Experiment 1 examined whether the forward effect has test-retest reliability between two experimental sessions. Experiment 2 investigated whether the effect is related to participants’ working memory capacity. In both experiments (and each session of Experiment 1), participants studied three lists of items in anticipation of a final cumulative recall test. In the testing condition, participants were tested immediately on lists 1 and 2, whereas in the restudy condition, they restudied lists 1 and 2. In both conditions, participants were tested immediately on list 3. On the group level, the results of both experiments demonstrated a forward testing effect, with interim testing of lists 1 and 2 enhancing immediate recall of list 3. On the individual level, the results of Experiment 1 showed that the forward effect on list 3 recall has moderate test-retest reliability between two experimental sessions. In addition, the results of Experiment 2 showed that the forward effect on list 3 recall does not depend on participants’ working memory capacity. These findings suggest that the forward testing effect is reliable at the individual level and affects learners at a wide range of working memory capacities alike. The theoretical and practical implications of the findings are discussed.","Memory, Long-term memory, Working memory, Learning",https://www.journalofcognition.org/articles/10.5334/joc.82/,https://www.journalofcognition.org/articles/10.5334/joc.82/galley/202/download/,The authors have no competing interests to declare.,NA,NA,NA,"Item material and data can be found at Open Science Framework, DOI: https://doi.org/10.17605/OSF.IO/TFP4S.",https://doi.org/10.17605/OSF.IO/TFP4S,NA,NA,The publication was funded by the Open Access Fund of Universität Trier and the German Research Foundation (DFG) within the Open Access Publishing funding programme.,BP and CF developed the study concept and experimental design. BP performed the data analysis and drafted the manuscript. CF provided critical revision. Both authors approved the final version of the manuscript for submission.,221,76
On the Assimilation of Instructions: Stimulus-response Associations are Implemented but not Stimulus-task Associations,2019,Research article,2,1,10.5334/joc.78,"The assimilation of instructions consists of two stages. First, a task model is formed on the basis of instructions. Second, this model is implemented, resulting in highly accessible representations, which enable reflexive behavior that guides the application of instructions. Research frequently demonstrated that instructions can lead to automatic response activation, which indicates that stimulus-response associations can be implemented on the basis of a task model. However, instructions not only indicate how to respond (stimulus-response mappings) but also when (i.e., the conditions under which mappings apply). Accordingly, we tested whether instruction implementation leads both to the activation of stimulus-response associations and of associations between stimuli and the context or task in which the instructed stimulus-response mappings are relevant (i.e., stimulus-task associations). In four experiments, we measured if implementing newly instructed stimulus-response mappings also leads to bivalence costs (i.e., shorter latencies when a stimulus can only occur in one task compared to when it can occur in two tasks), which indicate the presence of stimulus-task associations. We consistently observed automatic response activation on the basis of instructions, but no bivalence costs. A discrepancy thus exists between information conveyed in an instructed task model and the elements of that task model that are implemented. We propose that future research on automatic effects of instructions should broaden its scope and focus both on the formation of an instructed task model and its subsequent implementation.","Cognitive Control, Action, Attention",https://www.journalofcognition.org/articles/10.5334/joc.78/,https://www.journalofcognition.org/articles/10.5334/joc.78/galley/178/download/,The authors have no competing interests to declare.,NA,NA,"https://osf.io/zspjq/, https://osf.io/zspjq/",Raw data and corresponding processing scripts of all experiments are deposited at https://osf.io/zspjq/.,https://osf.io/zspjq/,NA,NA,NA,NA,105,24
Get the Picture? Goodness of Image Organization Contributes to Image Memorability,2019,Research article,2,1,10.5334/joc.80,"According to Gestalt psychologists, goodness is a crucial variable for image organization. We hypothesized that these differences in goodness contribute to variability in image memorability. Building on this, we predicted that two characteristics of good organizations, (i) fast, efficient processing and (ii) robustness against transformations (e.g., shrinking), would be characteristic of memorable images. Two planned (Study 1, Study 2) and one follow-up (Study 3) study were conducted to test this. Study 1 operationalized fast processing as accuracy in a rapid-scene categorization task (“categorizability”). Study 2 operationalized robustness against shrinking as reaction time in a thumbnail search task (“shrinkability”). We used 44 real-life scene images of 14 semantic categories from a previous memorability study. Each image was assigned a categorizability and shrinkability score. The predicted positive relation between categorizability and memorability was not observed in Study 1. A post-hoc explanation attributed this null result to a masking role of image distinctiveness. Furthermore, memorable images were located faster in the thumbnail search task, as predicted, but Study 2 could not rule whether this was merely a result of their distinctiveness. To elucidate these results, Study 3 quantified the images on distinctiveness and statistically controlled for this variable in a reanalysis of Study 1 and Study 2. When distinctiveness was controlled for, categorizability and memorability did show a significant positive correlation. Moreover, the results also argued against the alternative explanation of the results of Study 2. Taken together, the results support the hypothesis that goodness of organization contributes to image memorability.","Memory, Visual perception, Vision",https://www.journalofcognition.org/articles/10.5334/joc.80/,https://www.journalofcognition.org/articles/10.5334/joc.80/galley/197/download/,The authors have no competing interests to declare.,NA,NA,NA,"The novel data discussed in this manuscript can be downloaded from our repository on the Open Science Framework (OSF): https://doi.org/10.17605/OSF.IO/APKSE. The repository contains a folder called “data”, in which one can find three data files in CSV-format, one for each study. In addition, it also contains a README file, providing further clarification on the contents of the folder and how to read it. Finally, there is a folder called “stimuli”, which contains a CSV-file providing a list of the IDs of the selected images, together with the category label (both original and translated), as well as a README file.",https://doi.org/10.17605/OSF.IO/APKSE,NA,NA,"This work was supported by personal fellowships by the Research Foundation – Flanders (FWO) awarded to Lore Goetschalckx (Grant 1108116N), Pieter Moors (Grant 12X8218N), and Steven Vanmarcke (Grant 11Q8514N), and by a Methusalem grant awarded to Johan Wagemans by the Flemish Government (METH/14/02).",NA,169,60
Dissociations between Learning Phenomena do Not Necessitate Multiple Learning Processes: Mere Instructions about Upcoming Stimulus Presentations Differentially Influence Liking and Expectancy,2019,Research article,2,1,10.5334/joc.59,"Prior research showed that the degree of statistical contingency between the presence of stimuli moderates changes in expectancies about the presence of those stimuli (i.e., expectancy learning) but not changes in the liking of those stimuli (i.e., evaluative conditioning). This dissociation is typically interpreted as evidence for dual process models of associative learning. We tested an alternative account according to which both types of learning rely on a single process propositional learning mechanism but reflect different kinds of propositional beliefs. In line with the idea that changes in liking reflect beliefs about stimulus co-occurrences whereas changes in expectancy reflect beliefs about stimulus contingency, we found that evaluative ratings depended only on instructions about whether a stimulus would co-occur with a positive or negative stimulus whereas expectancy ratings were influenced also by instructions about individual stimulus presentations.","Learning, Emotion and cognition, Memory",https://www.journalofcognition.org/articles/10.5334/joc.59/,https://www.journalofcognition.org/articles/10.5334/joc.59/galley/131/download/,The authors have no competing interests to declare.,"JDH, SM, PVD, Department of Experimental Clinical and Health Psychology, Ghent University. JDH is supported by the Interuniversity Attraction Poles Program initiated by the Belgian Science Policy Office (IUAPVII/33) and Methusalem Grant BOF16/MET_V/002 of Ghent University. PVD is supported by a Postdoctoral fellowship of the Scientific Research Foundation, Flanders (FWO-Vlaanderen). Correspondence concerning this article should be sent to Jan.DeHouwer@UGent.be.","The US was selected on the basis of a rating study in which an on-line sample of 34 Prolific Academic participants rated the averseness of 15 four-second auditory stimuli (each presented twice) on a 21-points scale ranging from –10 (very negative) to +10 (very positive). We selected the sound of a woman’s scream because this auditory stimulus was judged as the most aversive (M = 7.65, SD = 2.96). Two nonsense words (MORAG and STRUAN) were used as CSs. It was counterbalanced across participants which word served as CS+ or CS–.","https://prolific.ac, https://osf.io/f9jn6/","The pre-registration, raw data, experimental and analytic scripts are available at https://osf.io/f9jn6/.",https://osf.io/f9jn6/,NA,NA,NA,NA,202,57
How Does the (Re)Presentation of Instructions Influence Their Implementation?,2019,Research article,2,1,10.5334/joc.63,"Instructions are so effective that they can sometimes affect performance beyond the instructed context. Such ‘automatic’ effects of instructions (AEI) have received much interest recently. It has been argued that AEI are restricted to relatively simple and specific S-R tasks or action plans. The present study put this idea further to the test. In a series of experiments based on the NEXT paradigm (Meiran, Pereg, Kessler, Cole, & Braver, 2015a) we investigated the specificity of AEI. In Experiment 1, we presented category-response instructions instead of S-R instructions. Nevertheless, we observed AEI for novel stimuli from the instructed category (Experiment 1a), and abstractness of the category did not modulate the size of the NEXT effect (Experiment 1b). However, Experiment 2 revealed specificity at the response level: AEI were much smaller in conditions where the instructed GO response is semantically related to, but procedurally different from the required NEXT response, compared to a condition where the NEXT and GO responses were the same. Combined, these findings indicate that AEI can occur when S(C)-R instructions are abstract at the stimulus level, arguing against previous proposals. However, AEI does seem to require specificity at the response level. We discuss implications for recent theories of instruction-based learning and AEI.","Action and perception, Categorisation, Cognitive Control, Learning",https://www.journalofcognition.org/articles/10.5334/joc.63/,https://www.journalofcognition.org/articles/10.5334/joc.63/galley/140/download/,The authors have no competing interests to declare.,We would like to thank Rosamund McLaren and Ruichong Shuai for their help in data acquisition.,NA,"https://osf.io/4hmpv/, https://osf.io/4hmpv/","All raw data files, R scripts (for data analysis), Matlab scripts (for data collection) and stimuli from all experiments are stored on the Open Science Framework data repository (https://osf.io/4hmpv/).",https://osf.io/4hmpv/,NA,NA,This work was supported by the European Research Council (grant numbers 312445 and 769595 awarded to Frederick Verbruggen).,"Contributed to conception and design: CSL, BL, FV. Contributed to acquisition of data: CSL. Contributed to analysis and interpretation of data: CSL, BL, FV. Drafted and/or revised the article: CSL, BL, FV. Approved the submitted version for publication: CSL, BL, FV",169,60
Age-Related Degree and Criteria Differences in Semantic Categorization,2019,Research article,2,1,10.5334/joc.74,"Individual differences in semantic categorization are commonplace. Individuals apply a word like SPORTS to different instances because they employ different conditions for category membership (vagueness in criteria) or because they differ regarding the extent to which they feel the term can be applied given fixed conditions (vagueness in degree). Three individuals may, for instance, disagree as to whether chess and hiking are SPORTS, because one believes SPORTS are competitive in nature, while the other two require SPORTS to be effortful (vagueness in criteria). On the basis of whether they consider hiking sufficiently effortful or not, the latter two individuals might still disagree as to whether to call it a SPORT (vagueness in degree). We investigated whether there are systematic age-related differences in semantic categorization by analyzing the categorization decisions of 1,868 adults for eight semantic categories with a formal model that allows the two sources of categorization differences to be disentangled. We found that young and older adults assess instances differently with respect to the categorization conditions and that older adults employ a lower threshold for category membership than young adults do. We recommend that these criteria and degree differences are taken into account in studies of age-related semantic processing.","Ageing, Categorisation, Mathematical modelling, Semantics",https://www.journalofcognition.org/articles/10.5334/joc.74/,https://www.journalofcognition.org/articles/10.5334/joc.74/galley/169/download/,The authors have no competing interests to declare.,"We thank Simon De Deyne, Paul Égré, James Hampton, Tom Heyman, Lorna Morrow, and Anne White for helpful suggestions. We also thank Lorna Morrow for providing us with the raw data from Morrow and Duffy (2005), allowing us to assess the impact of attenuation.","Eight categories, with 24 items each, were taken from Verheyen, Hampton, and Storms (2010). They were Dutch translations of the materials from Hampton, Dubois, and Yeh (2006). The eight categories comprise animal categories (FISH and INSECTS), artifact categories (FURNITURE and TOOLS), borderline artifact-natural kind categories (FRUIT and VEGETABLES) and activity categories (SCIENCES and SPORTS). The category items comprise several clear members and clear non-members, but mainly borderline cases, for which individual differences in opinions about category membership were expected. For the category of SPORTS, for example, the items included clear members such as tennis and swimming, clear non-members such as picnicking and talking, and a variety of borderline cases such as billiards, bullfighting, chess, darts, hiking, hunting, and kite flying (among others). The items lettuce and spinach are clear members of the category VEGETABLES, while apple and pineapple clearly do not belong to the category. Examples of borderline cases for the category VEGETABLES are bamboo shoot, garlic, parsley, potato, sage, seaweed, and soybean. See Appendix A for a full list of the materials.","https://doi.org/10.5334/joc.74.s1, https://doi.org/10.5334/joc.74.s2","The data and exemplary model code can be found on the Open Science Framework (DOI 10.17605/OSF.IO/TBVZ8). The data can be consulted at https://osf.io/yt7mf/. Exemplary code can be found at https://osf.io/8ejbw/. The data have been previously reported on in Verheyen, S., & Storms, G. (2018). Education as a source of vagueness in criteria and degree. In E. Castroviejo, L. McNally, & G. W. Sassoon (Eds.), The Semantics of Gradability, Vagueness, and Scale Structure: Experimental Perspectives (pp. 149–167). Berlin, Germany: Springer.","10.17605/OSF.IO/TBVZ8, https://osf.io/yt7mf/, https://osf.io/8ejbw/","The additional files for this article can be found as follows: Appendix A Overview of the materials in English (materials were presented in Dutch). Indices m, f, and e indicate items that function differently in young and older adults for the Male, Female, and Female Education Equated data, respectively. Superscripted indices indicate items that were more often endorsed by the older than by the young adults. Subscripted indices indicate items that were more often endorsed by the young than by the older adults. DOI: https://doi.org/10.5334/joc.74.s1 Appendix B Monte Carlo Simulations. DOI: https://doi.org/10.5334/joc.74.s2","https://doi.org/10.5334/joc.74.s1, https://doi.org/10.5334/joc.74.s2",SV was funded by KU Leuven Research Council grant C14/16032 and by the European Research Council under the European Union’s Seventh Framework Programme (FP/2007-2013)/ERC Grant Agreement n. 313610. SV also acknowledges grants ANR-10-LABX-0087 IEC and ANR-10-IDEX-0001-02 PSL* for research conducted at the Department of Cognitive Studies of ENS in Paris. This publication was made possible through funding support of the KU Leuven Fund for Fair Open Access.,"SV conceptualized the study, analyzed the data, and drafted the manuscript. ED gathered the data and contributed to the writing of the manuscript. GS provided critical revisions. All three authors discussed the findings thoroughly, read, and approved the final version of the manuscript.",100,20
