access,access_bool,open_data,open_materials,preregistration,year,url
Open Access,1,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
Open Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/9
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/8
Open Access,1,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,1,0,1,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,1,1,1,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/8
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/7
Full Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/7
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
Open Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/4
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
Full Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/4
Open Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,1,1,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,1,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
Full Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
Full Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/6
Free Access,1,1,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
Open Access,1,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,0,1,1,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,1,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
Free Access,1,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
Free Access,1,1,0,0,2017,https://journals.sagepub.com/toc/pssa/28/1
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/1
Free Access,1,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
Full Access,1,0,0,0,2012,https://journals.sagepub.com/toc/pssa/23/1
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/3
Full Access,1,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
Full Access,1,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
Full Access,1,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,1,2019,https://journals.sagepub.com/toc/pssa/30/3
Free Access,1,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/3
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,1,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
Full Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
Free Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,1,2019,https://journals.sagepub.com/toc/pssa/30/2
Open Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
Full Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/3
Full Access,1,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
Open Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
Full Access,1,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,1,1,1,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/3
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/3
Full Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/3
Full Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
Full Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
Free Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/1
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,1,1,1,2019,https://journals.sagepub.com/toc/pssa/30/2
Full Access,1,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,1,0,1,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,1,1,1,2019,https://journals.sagepub.com/toc/pssa/30/2
Full Access,1,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,1,1,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/2
Full Access,1,0,0,0,2019,https://journals.sagepub.com/toc/pssa/30/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/1
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
Open Access,1,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/3
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2010,https://journals.sagepub.com/toc/pssa/21/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,1,1,0,2017,https://journals.sagepub.com/toc/pssa/28/2
Free Access,1,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,1,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,1,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
Open Access,1,1,1,1,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,1,1,1,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,1,1,1,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2017,https://journals.sagepub.com/toc/pssa/28/2
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
No Access,0,0,0,0,2011,https://journals.sagepub.com/toc/pssa/22/3
