abstract,acknowledgements,altmetrics_score,altmetrics_total_outputs,article_type,author_contributions,conflict_of_interests,doi,funding,issue,keywords,open_practices,pdf_url,title,url,volume,year
"Several theories predict that income inequality may produce increased racial bias, but robust tests of this hypothesis are lacking. We examined this relationship at the U.S. state level from 2004 to 2015 using Internal Revenue Service–based income-inequality statistics and two large-scale racial-bias data sources: Project Implicit (N = 1,554,109) and Google Trends. Using a multimethod approach, we found evidence of a significant positive within-state association between income inequality and Whites’ explicit racial bias. However, the effect was small, with income inequality accounting for 0.4% to 0.7% of within-state variation in racial bias, and was also contingent on model specification, with results dependent on the measure of income inequality used. We found no conclusive evidence linking income inequality to implicit racial bias or racially offensive Google searches. Overall, our findings admit multiple interpretations, but we discuss why statistically small effects of income inequality on explicit racial bias may nonetheless be socially meaningful.","We thank Jordan Leitner and Orestes Hastings for their advice regarding our methods and data sources, as well as members of the Social Interaction Laboratory at University of California, Berkeley, for their valuable feedback on the manuscript.",44.518,14153714,Research Article,"P. Connor developed the study concept. P. Connor, V. Sarafidis, and M. J. Zyphur analyzed and interpreted the data. P. Connor drafted the manuscript, and all the authors provided critical revisions. All the authors approved the final manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618815441,NA,2,"income inequality, prejudice, racial and ethnic attitudes and relations, intergroup dynamics, open data, open materials","All data, materials, and code have been made publicly available via the Open Science Framework and can be accessed at osf.io/myqn9. The design and analysis plans for this study were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618815441. This article has received the badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797618815441,Income Inequality and White-on-Black Racial Bias in the United States: Evidence From Project Implicit and Google Trends,https://journals.sagepub.com/doi/full/10.1177/0956797618815441,30,2019
"Infectious disease is an ever-present threat in daily life. Recent literature indicates that people manage this threat with a suite of antipathogenic psychological and behavioral defense mechanisms, which motivate the avoidance of people and objects bearing cues to pathogen risk. Here, we demonstrate that self-image is also impacted by these mechanisms. In seven studies, pathogen cues led individuals chronically averse to germs to express greater concern about their own physical appearance. Correspondingly, these people exhibited behavioral intentions and decisions intended to conceal or improve their appearance, such as purchasing facial products, taking pharmaceuticals, and undergoing cosmetic surgery. This work opens a new area of investigation for infectious-disease psychology research and highlights the central role played by physical appearance in pathogen-related cognition.",We thank Yuching Lin and Iris Wang for assistance with data collection and manuscript preparation.,59.6,14082033,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617733829,This work was supported by National Science Foundation Grant BCS-1226731 to J. M. Ackerman and by the European Research Council under the European Union’s Horizon 2020 Research & Innovation program (Grant Agreement StG-2015 680002-HBIS to J. M. Tybur).,2,"evolutionary psychology, physical appearance, infectious disease, behavioral immune system, self-evaluation, open data, open materials, preregistered","All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/tsyrj. The hypotheses, data collection and analysis plans, and exclusion criteria for Studies 4, 5a, and 5b were preregistered at https://osf.io/9xqpw/ and https://osf.io/zvhb8/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617733829. This article has received badges for Open Data, Open Materials, and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797617733829,Infectious Disease and Imperfections of Self-Image,https://journals.sagepub.com/doi/full/10.1177/0956797617733829,29,2018
"When we receive information in the presence of other people, are we sensitive to what they do or do not understand? In two event-related-potential experiments, participants read implausible sentences (e.g., “The girl had a little beak”) in contexts that rendered them plausible (e.g., “The girl dressed up as a canary for Halloween”). No semantic-processing difficulty (no N400 effect) ensued when they read the sentences while alone in the room. However, when a confederate was present who did not receive the contexts so that the critical sentences were implausible for him or her, participants exhibited processing difficulty: the social-N400 effect. This effect was obtained when participants were instructed to adopt the confederate’s perspective—and critically, even without such instructions—but not when performing a demanding comprehension task. Thus, unless mental resources are limited, comprehenders engage in modeling the minds not only of those individuals with whom they directly interact but also of those individuals who are merely present during the linguistic exchange.",We thank Rashida Khudiyeva and Catherine Looby for help with data collection.,27.95,13849099,Research Article,"O. Jouravlev, E. Gibson, and E. Fedorenko developed the study concept. All the authors contributed to the study design. Testing and data collection were performed by O. Jouravlev, R. Schwartz, D. Ayyash, and Z. Mineroff. O. Jouravlev analyzed and interpreted the data and drafted the manuscript, and E. Gibson and E. Fedorenko provided critical revisions. All the authors approved the final manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618807674,"This research was supported by a grant from the Simons Foundation to the Simons Center for the Social Brain at Massachusetts Institute of Technology. E. Fedorenko was also supported by Award No. HD057522 from the National Institute of Child Health and Human Development and by Award No. DC016607 from the National Institute on Deafness and Other Communication Disorders, and E. Gibson was supported by Linguistics Program Award No. 1534318 from the National Science Foundation.",1,"communication, perspective taking, joint actions, social cognition, ERPs, N400, social N400, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at osf.io/x7kma. The design and analysis plans for the experiments were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618807674. This article has received the badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797618807674,Tracking Colisteners’ Knowledge States During Language Comprehension,https://journals.sagepub.com/doi/full/10.1177/0956797618807674,30,2019
"Mimicry is an important interpersonal behavior for initiating and maintaining relationships. By observing the same participants (N = 139) in multiple dyadic interactions (618 data points) in a round-robin design, we disentangled the extent to which mimicry is due to (a) the mimicker’s general tendency to mimic (imitativity), (b) the mimickee’s general tendency to evoke mimicry (imitatability), and (c) the unique dyadic relationship between the mimicker and the mimickee. We explored how these mimicry components affected liking and metaperceptions of liking (i.e., metaliking). Employing social relations models, we found substantial interindividual differences in imitativity, which predicted popularity. However, we found only small interindividual differences in imitatability. We found support for our proposition that mimicry is a substantially dyadic construct explained mostly by the unique relationship between two people. Finally, we explored the link between dyadic mimicry and liking, and we found that a person’s initial liking of his or her interaction partner led to mimicry, which in turn increased the partner’s liking of the mimicker.",NA,38.45,14083757,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617727121,This research was supported by German Research Foundation Grant SCHM 1646/2-3.,1,"social mimicry, liking, social relations model, round-robin design, social chameleons, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/b4nvf/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617727121. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at https://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617727121,Disentangling the Sources of Mimicry: Social Relations Analyses of the Link Between Mimicry and Liking,https://journals.sagepub.com/doi/full/10.1177/0956797617727121,29,2018
"Can science explain romantic love, morality, and religious belief? We documented intuitive beliefs about the limits of science in explaining the human mind. We considered both epistemic evaluations (concerning whether science could possibly fully explain a given psychological phenomenon) and nonepistemic judgments (concerning whether scientific explanations for a given phenomenon would generate discomfort), and we identified factors that characterize phenomena judged to fall beyond the scope of science. Across six studies, we found that participants were more likely to judge scientific explanations for psychological phenomena to be impossible and uncomfortable when, among other factors, they support first-person, introspective access (e.g., feeling empathetic as opposed to reaching for objects), contribute to making humans exceptional (e.g., appreciating music as opposed to forgetfulness), and involve conscious will (e.g., acting immorally as opposed to having headaches). These judgments about the scope of science have implications for science education, policy, and the public reception of psychological science.",NA,142.6,14093023,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617722609,We thank the James S. McDonnell Foundation and the John Templeton Foundation for support.,1,"explanation, mind-body dualism, folk epistemology, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/3r96f/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617722609. This article has received the badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617722609,Can Science Explain the Human Mind? Intuitive Judgments About the Limits of Science,https://journals.sagepub.com/doi/full/10.1177/0956797617722609,29,2018
"Corruption is often the product of coordinated rule violations. Here, we investigated how such corrupt collaboration emerges and spreads when people can choose their partners versus when they cannot. Participants were assigned a partner and could increase their payoff by coordinated lying. After several interactions, they were either free to choose whether to stay with or switch their partner or forced to stay with or switch their partner. Results reveal that both dishonest and honest people exploit the freedom to choose a partner. Dishonest people seek a partner who will also lie—a “partner in crime.” Honest people, by contrast, engage in ethical free riding: They refrain from lying but also from leaving dishonest partners, taking advantage of their partners’ lies. We conclude that to curb collaborative corruption, relying on people’s honesty is insufficient. Encouraging honest individuals not to engage in ethical free riding is essential.",NA,110.7,14088388,Research Article,"J. Gross and M. Leib collected and analyzed the data and contributed equally to this manuscript. J. Gross contributed reagents and analytic tools. All authors designed the experiment, wrote the manuscript, and approved the final manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618796480,This work was supported by European Research Council Grant No. ERC-StG-637915 and the Behavioral Economics Research Priority Area at the University of Amsterdam.,12,"behavioral ethics, ethical decision making, cooperation, dishonesty, partner selection, collaboration, rotation, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/bdvxs/. The design and analysis plans for the experiments were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618796480. This article has received the badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797618796480,Ethical Free Riding: When Honest People Find Dishonest Partners,https://journals.sagepub.com/doi/full/10.1177/0956797618796480,29,2018
"The notion of person-environment fit implies that personal and contextual factors interact in influencing important life outcomes. Using data from 8,458 employed individuals, we examined the combined effects of individuals’ actual personality traits and jobs’ expert-rated personality demands on earnings. Results from a response surface analysis indicated that the fit between individuals’ actual personality and the personality demands of their jobs is a predictor of income. Conclusions of this combined analysis were partly opposite to conclusions reached in previous studies using conventional regression methods. Individuals can earn additional income of more than their monthly salary per year if they hold a job that fits their personality. Thus, at least for some traits, economic success depends not only on having a “successful personality” but also, in part, on finding the best niche for one’s personality. We discuss the findings with regard to labor-market policies and individuals’ job-selection strategies.","We thank Juliane Hennecke and Sigi Lindenberg for valuable comments on earlier versions of this manuscript. We also thank Markus Held, Nicolas Sander, and Stefan Schiffer for providing the ratings of job-demanded personality.",152.95,14150424,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617724435,This research was supported by Grant SP 1462/1-1 (Scientific Network on Adult Personality Development) from the German Research Foundation to J. Specht.,1,"personality, socioeconomic status, performance, individual differences, open data, open materials",All data and materials have been made publicly available via the German Socio-Economic Panel (SOEP; https://www.diw.de/en/soep) and via the Open Science Framework at https://osf.io/9v34x. The questionnaires and other materials from the SOEP can be accessed at https://www.diw.de/en/diw_02.c.239921.en/codebooks.html and http://zis.gesis.org/skala/Schupp-Gerlitz-Big-Five-Inventory-SOEP-(BFI-S). The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617724435. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617724435,Uncovering the Power of Personality to Shape Income,https://journals.sagepub.com/doi/full/10.1177/0956797617724435,29,2018
"Why are people sometimes able to recall associations in exquisite detail while at other times left frustrated by the deficiencies of memory? Although this apparent fickleness of memory has been extensively studied by investigating factors that build strong memory traces, researchers know less about whether memory success also depends on cognitive states that are in place when a cue is encountered. Motivating this possibility, neurocomputational models propose that the hippocampus’s capacity to support associative recollection (pattern completion) is biased by persistent neurochemical states, which can be elicited by exposure to familiarity and novelty. We investigated these models’ behavioral implications by assessing how recent familiarity influences different memory-retrieval processes. We found that recent familiarity selectively benefitted associative memory (Experiment 1) and that this effect decayed over seconds (Experiment 2), consistent with the timescale of hippocampal neuromodulation. Thus, we show that basic memory computations can be shaped by a subtle, biologically motivated manipulation.","We thank A. Finn, M. Schlichting, and L. Page-Gould for their helpful reviews on earlier drafts of the manuscript and F. Mian and J. El-Sheikh for assistance with data collection.",24.3,13073426,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617728592,This work was supported by the Natural Sciences and Engineering Research Council (Discovery Grant No. 500491) and by the Canadian Foundation of Innovation and Ontario Research Fund (Project No. 34479).,1,"memory, novelty, cognition, acetylcholine, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/d7w8a/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617728592. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617728592,Lingering Cognitive States Shape Fundamental Mnemonic Abilities,https://journals.sagepub.com/doi/full/10.1177/0956797617728592,29,2018
"Although widely cited as strong evidence that sexual selection has shaped human facial-attractiveness judgments, findings suggesting that women’s preferences for masculine characteristics in men’s faces are related to women’s hormonal status are equivocal and controversial. Consequently, we conducted the largest-ever longitudinal study of the hormonal correlates of women’s preferences for facial masculinity (N = 584). Analyses showed no compelling evidence that preferences for facial masculinity were related to changes in women’s salivary steroid hormone levels. Furthermore, both within-subjects and between-subjects comparisons showed no evidence that oral contraceptive use decreased masculinity preferences. However, women generally preferred masculinized over feminized versions of men’s faces, particularly when assessing men’s attractiveness for short-term, rather than long-term, relationships. Our results do not support the hypothesized link between women’s preferences for facial masculinity and their hormonal status.","We thank Sean Murphy, Ruben Arslan, Hans IJzerman, Steve Gangestad, and Lawrence Barsalou for helpful discussion and comments.",532.646,14156890,Research Article,"The study was designed by B. C. Jones, L. M. DeBruine, A. C. Hahn, C. I. Fisher, S. C. Roberts, and A. C. Little. Data were collected by A. C. Hahn, C. I. Fisher, H. Wang, M. Kandrik, V. Fasolt, D. Morrison, I. J. Holzleitner, and C. Han. The data were analyzed by B. C. Jones, L. M. DeBruine, H. Wang, M. Kandrik, A. C. Hahn, A. J. Lee, I. J. Holzleitner, and K. J. O’Shea. The manuscript was drafted by B. C. Jones and L. M. DeBruine and revised by all of the authors.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618760197,This research was supported by European Research Council grants awarded to B. C. Jones (OCMATE) and L. M. DeBruine (KINSHIP).,6,"attractiveness, mate preferences, menstrual cycle, oral contraceptives, sexual selection, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/9b4y7/. The design and analysis plans were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618760197. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797618760197,No Compelling Evidence that Preferences for Facial Masculinity Track Changes in Women’s Hormonal Status,https://journals.sagepub.com/doi/full/10.1177/0956797618760197,29,2018
"Ecological rationality results from matching decision strategies to appropriate environmental structures, but how does the matching happen? We propose that people learn the statistical structure of the environment through observation and use this learned structure to guide ecologically rational behavior. We tested this hypothesis in the context of organic foods. In Study 1, we found that products from healthful food categories are more likely to be organic than products from nonhealthful food categories. In Study 2, we found that consumers’ perceptions of the healthfulness and prevalence of organic products in many food categories are accurate. Finally, in Study 3, we found that people perceive organic products as more healthful than nonorganic products when the statistical structure justifies this inference. Our findings suggest that people believe organic foods are more healthful than nonorganic foods and use an organic-food cue to guide their behavior because organic foods are, on average, 30% more healthful.","The authors thank Nicola Bown, Wandi Bruine de Bruin, Edward Cokely, Morten H. Christiansen, Blazenka Divjak, Mirta Galesic, Klaus G. Grunert, Gulbanu Kaptan, Brandi S. Morris, Michael Morris, Yasmina Okan, and Matthew Robson for their helpful comments on an earlier version of the manuscript. The authors also thank Valon Buxhovi and Linda Redere for their contribution to Study 1 and Study 3, respectively.",12.25,13571692,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617733831,This research was supported by the Aarhus University Research Foundation (AUFF).,1,"decision making, implicit statistical learning, ecological rationality, eye tracking, field study, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/zpjbg/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617733831. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617733831,Implicit Statistical Learning in Real-World Environments Leads to Ecologically Rational Decision Making,https://journals.sagepub.com/doi/full/10.1177/0956797617733831,29,2018
"Religious people are more trusted than nonreligious people. Although most theorists attribute these perceptions to the beliefs of religious targets, religious individuals also differ in behavioral ways that might cue trust. We examined whether perceivers might trust religious targets more because they heuristically associate religion with slow life-history strategies. In three experiments, we found that religious targets are viewed as slow life-history strategists and that these findings are not the result of a universally positive halo effect; that the effect of target religion on trust is significantly mediated by the target’s life-history traits (i.e., perceived reproductive strategy); and that when perceivers have direct information about a target’s reproductive strategy, their ratings of trust are driven primarily by his or her reproductive strategy, rather than religion. These effects operate over and above targets’ belief in moralizing gods and offer a novel theoretical perspective on religion and trust.",NA,115.658,14142869,Research Article,All authors developed the study concept and experimental design. J. W. Moon collected the data. J. W. Moon analyzed the data and drafted the manuscript with significant input and revisions by J. A. Krems and A. B. Cohen.,The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797617753606,This research was supported by the Air Force Office of Scientific Research (Grant No. FA9550-15-1-0008) and a Psi Chi graduate research grant awarded to J. W. Moon.,6,"evolutionary psychology, religious beliefs, religion, life-history theory, trust, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8. The experiments were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617753606. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617753606,Religious People Are Trusted Because They Are Viewed as Slow Life-History Strategists,https://journals.sagepub.com/doi/full/10.1177/0956797617753606,29,2018
"Blindsight and other examples of unconscious knowledge and perception demonstrate dissociations between judgment accuracy and metacognition: Studies reveal that participants’ judgment accuracy can be above chance while their confidence ratings fail to discriminate right from wrong answers. Here, we demonstrated the opposite dissociation: a reliable relationship between confidence and judgment accuracy (demonstrating metacognition) despite judgment accuracy being no better than chance. We evaluated the judgments of 450 participants who completed an AGL task. For each trial, participants decided whether a stimulus conformed to a given set of rules and rated their confidence in that judgment. We identified participants who performed at chance on the discrimination task, utilizing a subset of their responses, and then assessed the accuracy and the confidence-accuracy relationship of their remaining responses. Analyses revealed above-chance metacognition among participants who did not exhibit decision accuracy. This important new phenomenon, which we term blind insight, poses critical challenges to prevailing models of metacognition grounded in signal detection theory.",NA,122.142,13538683,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797614553944,"This work was supported by the Economic and Social Research Council (Grant No. RES-062-23-1975), an Engineering and Physical Sciences Leadership Fellowship to A. K. Seth (Grant No. EP/G007543/1), an Engineering and Physical Sciences Fellowship to A. B. Barrett (Grant No. EP/L005131/1), the European Research Council project Collective Experience of Empathic Data Systems project (Grant No. 258749; FP7-ICT-2009-5), and a donation from the Dr. Mortimer and Theresa Sackler Foundation via the Sackler Centre for Consciousness Science.",12,"insight, judgment, consciousness, decision making, cognitive neuroscience, open data, open materials",All data and materials have been made publicly available via Open Science Framework and can be accessed at https://osf.io/ivdk4/files/. The complete Open Practices Disclosure for this article can be found at http://pss.sagepub.com/content/by/supplemental-data. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at https://osf.io/tvyxz/wiki/view/ and http://pss.sagepub.com/content/25/1/3.full.,https://journals.sagepub.com/doi/pdf/10.1177/0956797614553944,Blind Insight: Metacognitive Discrimination Despite Chance Task Performance,https://journals.sagepub.com/doi/full/10.1177/0956797614553944,25,2014
"Memory of a traumatic event becomes consolidated within hours. Intrusive memories can then flash back repeatedly into the mind’s eye and cause distress. We investigated whether reconsolidation—the process during which memories become malleable when recalled—can be blocked using a cognitive task and whether such an approach can reduce these unbidden intrusions. We predicted that reconsolidation of a reactivated visual memory of experimental trauma could be disrupted by engaging in a visuospatial task that would compete for visual working memory resources. We showed that intrusive memories were virtually abolished by playing the computer game Tetris following a memory-reactivation task 24 hr after initial exposure to experimental trauma. Furthermore, both memory reactivation and playing Tetris were required to reduce subsequent intrusions (Experiment 2), consistent with reconsolidation-update mechanisms. A simple, noninvasive cognitive-task procedure administered after emotional memory has already consolidated (i.e., > 24 hours after exposure to experimental trauma) may prevent the recurrence of intrusive memories of those emotional events.","We thank the British Film Institute National Archives, LyleBailie International, Kino International, and David Large at the Royal College of Surgeons of Edinburgh for use of film clips. We also thank Barry Everitt, Bob Carlyon, and Rik Henson for helpful comments and Peter Watson for statistical help.",362.338,14129403,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797615583071,"E. A. Holmes, L. Hoppitt, and E. L. James are supported by the United Kingdom Medical Research Council (MRC-A060-5PR50); E. A. Holmes received further awards from a Wellcome Trust Clinical Fellowship (WT088217) and National Institute for Health Research Oxford Biomedical Research Centre Programme; E. L. James was supported by the Colt Foundation; and E. M. Tunbridge was supported by a Royal Society University Research Fellowship. Funding to pay the Open Access publication charges for this article was provided by the United Kingdom Medical Research Council.",8,"intrusive memory, intrusions, reconsolidation, computer game, involuntary memory, trauma film, mental imagery, emotion, open data, open materials",Key data and materials have been made publicly available via Open Science Framework and can be accessed at osf.io/ideta. The complete Open Practices Disclosure for this article can be found at http://pss.sagepub.com/content/by/supplemental-data. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at https://osf.io/tvyxz/wiki/1.%20View%20the%20Badges/ and http://pss.sagepub.com/content/25/1/3.full.,https://journals.sagepub.com/doi/pdf/10.1177/0956797615583071,Computer Game Play Reduces Intrusive Memories of Experimental Trauma via Reconsolidation-Update Mechanisms,https://journals.sagepub.com/doi/full/10.1177/0956797615583071,26,2015
"The notion that digital-screen engagement decreases adolescent well-being has become a recurring feature in public, political, and scientific conversation. The current level of psychological evidence, however, is far removed from the certainty voiced by many commentators. There is little clear-cut evidence that screen time decreases adolescent well-being, and most psychological results are based on single-country, exploratory studies that rely on inaccurate but popular self-report measures of digital-screen engagement. In this study, which encompassed three nationally representative large-scale data sets from Ireland, the United States, and the United Kingdom (N = 17,247 after data exclusions) and included time-use-diary measures of digital-screen engagement, we used both exploratory and confirmatory study designs to introduce methodological and analytical improvements to a growing psychological research area. We found little evidence for substantial negative associations between digital-screen engagement—measured throughout the day or particularly before bedtime—and adolescent well-being.","The Centre for Longitudinal Studies, UCL Institute of Education, collected Millenium Cohort Study data; the UK Data Archive/UK Data Service provided the data. They bear no responsibility for our analysis or interpretation. We thank J. Rohrer for providing the open-access code on which parts of our analyses are based.",1764.08,14157352,Research Article,A. Orben conceptualized the study with regular guidance from A. K. Przybylski. A. Orben completed the statistical analyses and drafted the manuscript; A. K. Przybylski gave integral feedback. Both authors approved the final manuscript for publication.,The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797619830329,"The National Institutes of Health (R01-HD069609/R01-AG040213) and the National Science Foundation (SES-1157698/1623684) supported the Panel Study of Income Dynamics. The Department of Children and Youth Affairs funded Growing Up in Ireland, carried out by the Economic and Social Research Institute and Trinity College Dublin. A. Orben was supported by a European Union Horizon 2020 IBSEN Grant; A. K. Przybylski was supported by an Understanding Society Fellowship funded by the Economic and Social Research Council. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",5,"large-scale social data, digital technology use, adolescents, well-being, time-use diary, specification-curve analysis, open materials, preregistered","The data can be accessed using the following links, which requires the completion of a request or registration form—Growing Up in Ireland: http://www.ucd.ie/issda/data/guichild/; Panel Study of Income Dynamics: https://simba.isr.umich.edu/U/Login.aspx?TabID=1; Millennium Cohort Study: https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000031#!/access. The analysis code for this study has been made publicly available via the Open Science Framework and can be accessed at https://osf.io/rkb96/. The design and analysis plans were preregistered at https://osf.io/wrh4x/. Changes were made after preregistration because improved methods became available. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797619830329. This article has received the badges for Open Materials and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797619830329,"Screens, Teens, and Psychological Well-Being: Evidence From Three Time-Use-Diary Studies",https://journals.sagepub.com/doi/full/10.1177/0956797619830329,30,2019
